Silpi Köyünde	НАРСПИ
Ah  ne kolay içmesi	Ай хай çӑмӑл ӗçесси
Bizim yaşlı Miheter	Пирӗн ватӑ Михетер
Dostunu davet eder	Тантӑшсене йыхӑрать
Yaşlı karısı ise	Унӑн ватӑ карчӑкки
Fıçısını çekeler	Сӑра йӑтнӑ уттарать
Dostlarını dolaşıp	Тантӑш патне кӗрет те
Açıyor fıçısım	Уçать сӑра чӗресне
Düğüne davet edip	Туя пыма йыхӑрса
Sunuyor şarabını	Ӗçтерет туй сӑрине
İyi dostlar  komşular	Ырӑ тантӑш тӑвансем
Bize saygınız yok mu	Пире хисеп тумӑр ши
Kızı veriyoruz ya	Хӗре качча паратпӑр
Düğüne gelen yok mu	Тури касса утмӑр ши
Tabii ki geleceğiz	Пырӑпӑрах пырӑпӑр
Hiç gelmez olur muyuz	Пымасӑрах юлмӑпӑр
Tanrı nasip ederse	Турӑ пўрсен сывӑ пулсан
Gönlünü kırar mıyız	Кӑмӑлӑра татмӑпӑр
Dolaşır yaşlı kadın	Карчӑк яла ӗретлет
Akşam çökünceye dek	Тӗттӗм те пулса çитет
Sonra da eve dönüp	Карчӑк çўрет килиӗнче
Hazırlıyor yiyecek	Çӑкӑр тӑвар хатӗрлет
İyi dostlar  kardeşler	Ырӑ тантӑш   тӑвансем
Düğün evine gidin	Тури касса уттарар
Bereketli şarabı	Перекетлӗ сӑрана
İçerek düğün edin	Ӗçе ӗçе туй лартар
Dostumuz kız veriyor	Пирӗн тӑван хӗр парать
Bizi davet ediyor	Пире унта йыхӑрать
Sevgili kızı için	Хӑйӗн савнӑ хӗрӗшӗн
Büyük düğün kuruyor	Урӑм çурӑм туй пуçлать
Başlatmadan düğünü	Туйне пуçне пуçличчен
Budur Çuvaş töresi	Авал чӑваш йӑлипе
Hatırla yaşlıları	Ваттисене асӑнса
Dağıt tuzu ekmeği	Тӑкар çӑкӑр тӑварне
Yaşlı anne babalar	Ват аттесем аннесем
Kutsayınız cennette	Ырӑ курӑр çӑтмахра
Tuzumuz ekmeğimiz	Пирӗн çӑкӑр тӑварсем
Bulunsun önünüzde	Пулччӑр сирӗн умӑрта
Sevgili Narspi’mize	Пирӗн савнӑ Нарспие
Sunun iyi bir yaşam	Парӑр ырӑ пурӑнӑç
Mutluluk ve sevinci	Парӑр унӑн телейне
Esirgemeyin ondan	Ырӑлӑхпа савӑнӑç
Yaşlıları andılar	Ваттисене асӑнчӗç
Geleneklere göre	Авалхисен йӗркипе
Düğünü başlatmaya	Унтан туя пуçлама
Girdiler beyaz eve	Кӗчӗç шурӑ кӗлете
Şarap kadehi ile	Курка тулли сӑрипе
Babası öğütlüyor	Ашшӗ амӑш пехиллет
Anne baba önünde	Ашшӗ амӑш умӗнче
Kız üzülüp ağlıyor	Хӗрӗ хурланса йӗрет
Narspi  kızım  kutlu ol	Нарспи хӗрӗм пил сана
Kocanı hiç bırakma	Упӑшкуна ан пӑрах
İyi geçin onunla	Аван пурӑн унпала
Huzurlu ol daima	Тату пулӑр яланах
Dinle onu  uysal ol	Итле ӑна йӑваш пул
Uyma kötü insana	Усал çынпа ан çыхлан
İşini yap  çok çalış	Ӗçне ӗçле ӗçчен пул
Gereksizle uğraşma	Кирлӗ марпа ан хӑтлан
Öğütlüyor babası	Атте анне ўкӗтлет
Kız gözyaşı döküyor	Хӗр куççульне юхтарса
Ve artık çalgı sesi	Шӑпӑр сасси чӑйлатать
Düğünü başlatıyor	Туя ячӗç пуçласа
Horuldayarak Silpi	Силпи ялӗ харлатса
Ölmüş gibi uyuyor	Вилнӗ çын пек çывӑрать
Mutlu görüp dünyayı	Тӗнче лӑпкине курса
Gökte ay seviniyor	Çўлтe уйӑx савӑнать
Yorulmuş oynamaktan	Кӗрсе пӗтнӗ вӑйӑран
Sarı kızlar  yiğitler	Сарӑ хӗрсем каччӑсем
Düğün halkı uykuda	Туй халӑхӗ çывӑрать
Uyuyor evdekiler	Çывӑpaççӗ хуçисем
Nefesler soğuyarak	Ӑшӑ сывлӑш сивӗнет
Ses seda kesiliyor	Сасӑ чӗвӗ илтӗнмест
Dolanıyor bir köpek	Пӗр йытӗ çеç вӗркелет
Üşenmeden esniyor	Çӑвар карма ўркенмест
Kuzeyde horoz ötüp	Автан çурçӗр авӑтать
Uyur durduğu yerde	Ларнӑ çӗрте çывӑрать
Yavaşça artık ay da	Хуллен хуллен уйӑх та
Gizleniyor ormana	Вӑрман хыçне пытанать
Tatlı bir uyku ile	Ырӑ тутлӑ ӑйхӑпа
Çuvaş halkı uyuyor	Чӑваш çынни çыв ӑрать
Bir canın yalnız dertle	Пӗр чунӑн çеç хуйхӑпа
Yüreği eziliyor	Çaв каç чӗри çурӑлать
Düğün	Туй
Gün doğunca Silpi’de	Хӗвел тухнӑ тухманах
Gece sıyrılıverdi	Тӗтӗм кайрӗ ял çинче
Gözünü açar açmaz	Куçне уçнӑ у çманах
Çuvaş banyoya girdi	Чӑваш ларать мунчинче
Śilmik geleneğiyle	Çимӗк кунӗ йӑлипе
Herkes banyo yapıyor	Çынceм мунча кӗреççӗ
Śimik otları ile	Çимӗк курӑкӗпеле
Vücudunu ovuyor	Çaнçypӑмнe хӗртеççӗ
Yaşlı anne babalar	Ват аттесем аннесем
Böyle buyuruverdi	Çaплa хушса хӑварнӑ
Çuvaşlar da banyoya	Çaплa паян чӑвашсем
Girip tertemiz oldu	Мунча кӗрсе тасалнӗ
Yeni kıyafetlerle	Çene кӗпе йӗм пеле
Çıktılar sokaklara	Тухрӗç вӗсем урама
Yavaşça yürüyerek	Тухрӗç вӗсем ерипе
Gidiyorlar düğüne	Утрӗç ирех туй курма
İşte düğün  bu düğün	Акӑ туй та акӑ туй
Bizim düğünler böyle	Пирӗн туйсем çа лалла
Büyük düğünün sesi	Тури касри туй сасси
Yankılanır tüm köyde	Янтӑратать çур яла
Miheter’in ev barkı	Михетерӗн кил çурчӗ
Ta uzaktan görünür	Аякранах курӑнать
Sokak kapılarından	Урам енчи хапхаран
Giren çıkan çok olur	Çын кӗрет те çын тухать
Ev önünde insan çok	Пўрт умӗнче çЫН нумай
Düğün görmeye gelen	Килнӗ вӗсем туй курма
Yaşlılar da az değil	Ваттисем те сахал мар
İçki içmeye gelen	Килнӗ вӗсем сӑра ӗçме
Sallanıp kıvrılarak	Ярӑнтарса явӑнса
Saz sesi oynatıyor	Шӑпӑр кӗвви ташлатать
Ev sahibi istiyor	Ырӑ хуçа хушнипе
Herkes düğün yapıyor	Туй халӗхӗ туй тӑвать
Düğün halkı eğlenip	Туй халӑхӑ туй туса
Yorulur da sevinir	Ывӑнать те савӑнать
Saz sesi kesilince	Шӑпӑр сасси чарӑнсан
Türkülere geçilir	Туй юррийӗ пуçланать
Ne kadar sessizsiniz	Мӗншӗн шӑппӑн ларатӑр
Ne kadar sessizsiniz	Мӗншӗн шӑппӑн ларатӑр
Böyle sessiz durulmaz	Шӑппӑн шӑппӑн лармашкӑн
Kuş yavrusu değiliz	Шӑпчӑк чӗппи мар эпир
Fakat saz durmaksızın	Анчах шӑпӑр хӑлӑхсӑр
Dansetmeye çağırır	Татах ташлама чӗнет
Gümbür gümbür danslarla	Кӗрӗс кӗрӗс ташласа
Döşemeler sallanır	Пўрт урайӗ силленет
Tüm konuklar oturup	Ырӑ хӑнасем тӗпелте
Yiyip içip eğlenir	Ӗçсе çисе савӑнаççӗ
Kızlarla yiğitlere	Хӗрӗпеле каччине
Mutlu yaşam dilenir	Ырӑ кунсем сунаççӗ
Sağ olun siz  var olun	Сывӑ пулччӑр пур пулччӑр
Çoluk çocuklu olun	Ача пӑчаллӑ пулччӑр
İyi  güzel yaşayın	Ырӑ тату пурӑнччӑр
Kötü söz işitmeyin	Усал сӑмах ан илтчӗр
Yiyin  için dostlarım	Ӗçер çиер тӑвансем
Her an birlikte olun	Ӗмӗр пӗрле пурӑнар
Kızla delikanlıya	Хӗрпе качча юратса
Güzel bir düğün yapın	Атьӑр шепрех туй тӑвар
İşte şimdi  bak şimdi	Акӑ ӗнтӗ пӑх ӗнтӗ
Ev sahibi oynuyor	Епле ташлать ват хуçа
Kızın düğün sevinci	Хӗрин туйин савӑнӑçӗ
Yaşlıyı coşturuyor	Çӗклет иккен ват пуçа
Gençler  delikanlılar	Маттур пуса каччисем
Danseder ölesiye	Вӑйран тухса сикеççӗ
Ardı sıra da kızlar	Вӗсен хыççӑн хӗрӗсем
Yetişiyor şiirle	Такмак ӗпе çитеççӗ
İpek saçaklı perde	Пурçӑн çўçеллӗ чаршав
Yukarıdan sarkıyor	Маччаранах сулланать
Perdenin arkasında	Хӗрлӗ чаршав хЫçӗнче
Duvaklı kız duruyor	Пӗркенчӗкпе хӗр ларать
Kız oturmuş ağlıyor	Хӗр ларать те хӗр йӗрет
Duvağı kaldırmıyor	Пӗркенчӗкне çӗклемест
Şarkıların sesinden	Хӗр çуммисем юрласа
Hıçkırık duyulmuyor	Унӑн сасси илтӗнмест
Kızlar şarkılarında	Хӗр çуммисем юрринче
Narspi’yi anıyorlar	Асӑнаççӗ Нарспие
Miheter’in kızına	Михетерӗн Нарспине
Bir düğün yapıyorlar	Тӑваççӗ мӗн ун туйне
Ak sakallı Tĭhtaman	Шурӑ сухал Тӑхтаман
Ona koca olmalı	Упӑшкийӗ пулмалла
Kendi sevgilisinden	Хӑйӗн чунӗ савнинчен
Caymalı da caymalı	Каймаллипех каймалла
Sen ele vardığında	Эсӗ юта кайсассӑн
Ne yapacak Setner’in	Мӗн тӑвӗ ши Сетнерў
Güzel Narspi ablamız	Ырӑ Нарспи аппаçӑм
Hani senin talihin	Ӑçтa санӑн телейў
Düğün gürültüsünün	Туй тӑваççӗ çӗмӗрсе
Sanki biteceği yok	Унӑн — вӗçӗ хӗрри çук
Düğün evine giden	Тантӑш патне çўресе
Köylülerin sonu yok	Ялта тантӑш пӗтес çук
Yüksek deri araba	Çўлӗ сӑран кўмийӗ
Düğüne sürülüyor	Тантӑш патне çўретет
Kızların şarkıları	Хӗр çуммисен юррийӗ
Her yerden duyuluyor	Таçта çитех илтӗнет
Gece gündüz oyun var	Кунӗн çӗрӗн выляма
Çalgı sesi dinmiyor	Шӑпӑрӗ те чарӑнм асть
Devamlı oynamaktan	Кунӗн çӗрӗн ташлама
Gençler de yorulmuyor	Пуса каччи ывӑнмасть
Köyün çoluk çocuğu	Пӗтӗм ялти ача пӑча
Düğün diye koşuyor	Туйӗ хыççӑн хӑвалать
Ölü gibi bir yaşlı	Вилес пекех ватӑ çын
Ev ardında uyuyor	Пўрт хЫç ӗнче çЫвӑрать
Düğünü iyi yapın	Туй тӑвӑр та шеп тӑвӑр
İhtiyarın gücü yok	Ватӑ çыннӑн халӗ çук
Yatmış  yerde zıplıyor	Выртнӑ çӗрте сиккелет
Kalkacak kuvveti yok	Анчах тӑма вӑйӗ çук
Falcıda	Юмӑç Патӗнче
Bir küçücük kara ev	Пӗчӗкçеçӗ хура пўрт
Ak pak adam sekide	Шурӑ старик сак çинче
İşığı koymaz asla	Çутӑ кўртмест нимӗн те
Baca gibi pencere	Тӗнӗ пек çеç чўрече
Yalnızca açık kapı	Уçса хунӑ алӑк çеç
Aydınlatır odayı	Пўртӗн ӑшне çутатать
Bir ışık demetçiği	Хӗвел çутти пайӑрки
Oynatır döşemeyi	Урай тӑрӑх ав шӑвать
İhtiyar baş köşede	Ларать старик тӗпелте
Bir çizme onarıyor	Çӑnaтинe сапласа
Yaşlı eli ayağı	Ват ал ура йӗркипе
Kıpır kıpır oynuyor	Мӗшӗл мӗшӗл маташса
İşte güneş ışığı	Акӑ хӗвел çуттийӗ
Oynayarak geldi de	Шуса шуса пычӗ те
Sıçradı ihtiyarın	Сиксе ларчӗ старикӗн
Ak saçları üstüne	Кӑвак çўçлӗ пуç çине
Śimk sesi sokakta	Çимӗк çуйӗ урамран
Oynatır yüreğini	Çӗклентерет чӗрине
Güneş de dansederek	Хӗвелӗ те выляса
Parlatır saçlarını	Çутатать çўç пӗрчине
Mırıldanıp kendince	Мӑкӑртатса мӑшлатса
Çizmesini yamarken	Çӑпaтинe сапласа
Biri girdi sessizce	Ларнӑ çӗрте сисмен те
Adam farkedemeden	Çын килнине пӗлмен те
Açık kapı önünde	Уçӑ алӑк умӗнче
Yaşlı kadın duruyor	Карчӑк тӑра парать мӗн
Ak saçlı ihtiyara	Кӑвак çўçлӗ старике
Sıcak sözler söylüyor	Ӑшӑ сӑмах калать мӗн
Böyle sıcak konuşan	Ӑшӑ сӑмах калакан
Setner’in annesiydi	Сетнер амӑш пулнӑ мӗн
Onun oğlu Setner’e	Ун ывӑлне Сетнерне
Kötülük ilişmişti	Усал  тӗсел ернӗ мӗн
O nedenle annesi	Çaв ӑнпала амӑшӗṳ
Falcı yanına gitti	Юмӑç патне уттарчӗ
Ağlayıp sızlayarak	Ах ахлатса хуйхӑрса
Dertlerini söyledi	Хӑй хуйхине каларӗ
Çok zaman ihtiyarla	Нумай вӗсем старикпе
Oturup söyleştiler	Ларчӗç сӑмах калаçса
Konuşup sağdan soldan	Калаçнӑ чух хушӑран
Eskileri deştiler	Ӗлӗкхине асӑнса
Birinden hemen sonra	Юлашкинчен тин вара
Sözü aldı beriki	Килӗшрӗ леш старикки
Bir çift çorap  bir gömlek	Мӑшӑр чӑлха пӗр кӗпе
Verecek oldu kadın	Пама пулчӗ карчакки
Sonra ihtiyar kalktı	Вара старик тӗчӗ те
İşini bırakarak	Хӑйӗн ӗçне парахса
Kapattı dış kapıyı	Хупса хучӗ алӑкне
Maşayla dokunarak	Турчӑкипе çаклатса
Üzerine kürk aldı	Çинe кӗрӗк тӑхӑнса
Koltuğuna bir şapka	Çӗлӗк тытрӗ хул айне
Saban üstüne basıp	Ури айне шӑрт хурса
Koydu önüne para	Укçа хучӗ ун умне
Sonra ak sakalını	Унтан шурӑ сухалне
Saçını sıvazlayıp	Кӑвак çўçне якатса
Paraya bir kör gibi	Укçа çине суккӑрскер
Baktı gözünü açıp	Пӑхрӗ куçне чакӑртса
Bakıp durdu  durdu da	Пӑхса тӑчӗ тӑчӗ те
Sakalını okşayıp	Шур сухалне якатса
Konuştu yavaş yavaş	Каларӗ вӑл ерипе
Yaşlı kadına bakıp	Карчӑк енне çаврӑнса
Dert yarası kapanmaz	Çaмки шӑтӑк— хупӑнмӗ 
İç yarası yapışmaz	Чӗри татӑк сыпӑнмӗ
Tanrının verdiğinden	Пўлӗх турӑ пўрнинчен
Hiçbir zaman kaçılmaz	Нимӗнпе те иртеймӗ
Vermiş ona tanrımız	Панӑ ӑна пўлӗхçӗ
Sıcak kan  yumuşak can	Вӗри юнпа çемçе чун
Vermiş ona tanrımız	Пўрнӗ ӑна пўлӗхçӗ
Kısa ömür  zor yaşam	Кӗске ӗмӗр йывӑр кун
Soğuk günler gelecek	Сивӗ кунсем килӗç те
Donacak sıcak kanı	Шӑнса кайӗ вӗри юн
Kötü günler gelecek	Хытӑ кунсем килӗç те
Katılaşacak canı	Хытса кайӗ çемçе чун
Sıcak günler gelecek	Вӗри кунсем килӗç те
Donmuş kan kaynayacak	Вӗриленӗ шӑннӑ юн
Katı cansa eriyip	Хытнӑ çӗртен ирӗлсе
Yanıp gidiverecek	Çyнca кайӗ çемçе чун
Sonra ihtiyar susup	Унтан старик чарӑнса
Düşünerek kalktı da	Шухӑшласа тӑчӗ те
Kürküyle şapkasını	Кӗрӗкӗпе çӗлӗкне
Koydu seki üstüne	Сакки çине хучӗ те
Ve sonra şöyle dedi	Çaплa татах каларӗ
Yaşlı kadına dönüp	Карчӑк енне çаврӑнса
Oturuyor sekide	Ларать карчӑк сак çинче
Sağa sola sallanıp	Урлӑ пирлӗ тайӑлса
Türlü kötülük değil	Тӗрлӗ усал  тӗсел мар
Kötü ruh işi değil	Киреметри хывни мар
Hastalık değmiş değil	Чир чӗр ертен йӗрӗх мар
Büyü yapılmış değil	Çын тухатса хуни мар
Yok gelinim oğluna	Çyк кин санӑн ы вӑлна
Böylece yazmış tanrı	Турӑ çырни çплалла
Ağlama gelin  tanrıya	Ан йӗр кинӗм пулӗхçе
Nasıl gelinir karşı	Епле хирӗç пымалла
İhtiyar bunu dedi	Старик çапла каларӗ
Ne yapsın bilemedi	Нимӗн тума пӗлм ерӗ
Tekrar işine döndü	Хӑйӗн ӗçне ты трӗ те
Başka söz söylemedi	Пӗр сӑмах та чӗнмерӗ
Başı eğik ve üzgün	Пуçне усса хурланса
Gitti zavallı kadın	Тухса кайрӗ карчӑкӗ
Çizmesiyle başbaşa	Çӑпа тине сапласа
Kaldı ihtiyar falcı	Ларса юлчӗ старикӗ
Söylenip  homurdanıp	Мӑкӑртатса мӑшлатса
Şaşkın şaşkın oturdu	Аптӑраса ларать вӑл
Ne kadar sonra bu gün	Мӗнле вара ку паян
Diye kendine sordu	Хӑй ӑшӗнче ыйтать вӑл
Şimdiye dek herkese	Халичченех çынсене
Fal açıp bakıyordum	Юмӑç пӑхса параттӑм
Yalan sözler söyleyip	Суя сӑмах суяйса
Aldatıp gidiyordum	Улталаса яраттӑм
Ne kadar sonra bu gün	Мӗнле вара ку паян
Kalp gerçeği bildi mi	Чӗре чӑнах пӗлчӗ шим
Yalan diye dediğim	Суйса napac тенӗччӗ
Ah ne yazık doğru mu	Aк тамаша тӗрӗс шим
Kaçış	Тарни
Güneş kaybolduğunda	Хӗвел анса пытанать
Silpi köyü susuyor	Силпи ялӗ лӗпланать
Karanlık erişince	Тӗттӗм пулса Çитecne
Düğün de dağılıyor	Пирӗн туй та саланать
Kızlar  yiğitler köyde	Ялти хӗрсем качч асем
Çıkmışlar oynamaya	Вӑййа тухнӑ выляма
Çıkmış bizim Narspi de	Тухнӑ пирӗн Нарспи те
Kız ömrünü savmaya	Хӗр ӗмӗрне ӑсатма
Son geceyi oyunla	Юлашки кaç выляса
Geçirip de gidecek	Юлас арӑм пуличчен
Son gece Setner’ini	Юлашки кaç Сетнере
Görecek  el olacak	Курас юта кайиччен
Setner durur öylece	Сетнер тӑрать çaвӑнтах
Başını eğmiş  üzgün	Пyçнe усса хуйхӑрса
Sarı kızın gözleri	Сарӑ хӗрӗн куçӗнчен
Yaş akıtıyor  süzgün	Анать куççулӗ юхса
Konuklar dağılınca	Вӑйӑ çЫнни салансан
Bir süre konuştular	Пайтах вӗсем калаçрӗç
Sarılıp birbirine	Ыталаса пӗр пӗрне
Gecede kayboldular	Тӗттӗм çӗрте çухалчӗç
Minik yıldızlar gökte	Вӗт çӑлтӑрсем тaxçaнax
Söndü bulut altında	Пӗлӗт айне хупланчӗç
Orman yeri kapkara	Вӑрман тӗлне хуп хурах
Kaplandı bulutlarla	Сӗм пӗлӗтсем капланчӗç
Yağmur yağar  sel akar	Çyмӑр çӑвать шыв юхать
Kara orman gürülder	Хура вӑрман кӗр  кӗрлет
Rüzgar eser de sanki	Çил тухать те çил каять
Aç kurtlar gibi ulur	ВЫçӑ кашкӑр пек ўлет
Şimşekler ışıtıyor	Çиçӗм пӗрмай çуттипе
Orman karanlığını	Вӑрман ӑшне çутатать
Kara orman içinde	Тӗттӗм вӑрман ӑшӗпе
Koşuyor binek atı	Пӗр юланут кустарать
Koşan atın soluğu	Лаша пырать тӑлхӑрса
Ormanda yankılanır	Вӑрман ӑшне янратса
Atta iki kişi var	Иккӗн ларнӑ утланса
Artık gücü kesilir	Лаша çнtet ывӑнса
Ağaçlar devler gibi	Йывӑç ларать улӑп пек
Gecede hışırdıyor	Тӗттӗм çӗрте кашласа
Güzel gidiniz  diye	Чипер кайӑр  тиет те
Baş eğip yol veriyor	Пуçне таять çул парса
Tan yeri ağarıyor	Шурӑмпуçӗ çап  çутах
Nerdeyse gün doğuyor	Хӗвел тухас пек тӑрать
Tan yeri ağarınca	Шyрӑмпуçӗ шурсанах
İnsanlar toplanıyor	Туй халӑхӗ пухӑнать
Sırayla dansediyor	Хӑй йӗркипе ташлама
Önce delikanlılar	Вӑхӑт пуса каччисен
Sonra şarkı söylüyor	Хӑй йӗркипе юрлама
Vakti gelince kızlar	Вӑхӑт çитнӗ хӗр çум сен
Saz sesi duyulmuyor	Шӑпӑр сасси илтӗнмест
Çalgıcı görünmüyor	Шӑпӑрçи те курӑнмасть
Konuklar arasında	Ырӑ хӑна хушшинче
Rakı  şarap bitmiyor	Эрех сӑра такӑнмасть
İhtiyarla karısı	Стариккипе карчӑкки
Evde tartışıyorlar	Хура пўртре вӑрçаççӗ
Ne oldu ki bu türlü	Мӗн пулнӑ ши çaв тӗрлӗх
Sessiz bekleşiyorlar	Пурте шӑппӑн лараççӗ
Hiç çıkmıyor sesleri	Шӑппӑн шӑппӑн лармасӑр
Kızlan kayıp bugün	Вӗсен хӗрӗ çук паян
Kötü Setner’le Narspi	Нарспи усал Сетнерпе
Kaçıp gitmiş düğünden	Тарса кайнӑ вӑйӑран
Üç tane at ormanda	Виç юланут вӑрманта
İz sürerek koşuyor	Йӗр йӗрлесе çўреççӗ
Her tarafa bakınıp	Пӗри кунта леш унта
Bir tane iz arıyor	Темӗнле йӗр йӗрлеççӗ
Arayıp dinliyorlar	Йӗр йӗрлеççӗ итлеççӗ
Bir ses duyulacak mı	Пӗрер сасӑ пулмӗ ши
Güneş aydınlatınca	Хӗвел пӑхатьçyтaтca
Yollar açılacak mı	Кирлӗ çула уçмӗ ши
Görünmez hiçbir nesne	Анчах нимӗн паллӑ мар
İçerlere girince	Кӗрес тата шаларах
Burunlarında öfke	Вӑрçас килет çиллипе
Bulalım bir an önce	Тупасчӗ çке хӑвӑртрах
Orman vahşi  orman sık	Вӑрман çӑра пит тискер
Kuş sesi cıvıl cıvıl	Унӑн ӑшӗ чӑв та чав
Hiç bir yerde bir iz yok	Йӗр ниçта та паллӑмар
Bir yere gitmek müşkül	Ниçта кайма аптӑрав
Üç tane at ormanda	Виç юланут вӑрманта
İz sürerek koşuyor	Йӗр йӗрлесе çўреççӗ
Bakınıp her tarafa	Пӗри кунта леш унта
Bir tane iz arıyor	Темӗнле йӗр йӗрлеççӗ
Setner tatlı uyuyor	Сетнер тутлӑ çывӑрать
Yüksek meşe kökünde	Çўnӗ юман кутӗнче
Narspi rüya görüyor	Нарспи ларать тӗлӗрсе
Setner’in baş ucunda	Сетнер пуçӗ вӗçӗнче
Narspi görür rüyada	Нарспи тӗлӗк тӗлленет
Köpek olmuş babası	Ашшӗ йытӑ пулнӑта
Takırdayan dişlerle	Шӑлӗсемпе шаккаса
Dolaşıyor ormanı	Сиксе çўрет вӑрманта
Kötü kız nere kaçtın	Ӑçтa тартӑнь усал хӗр
Yerim başını bulur	Пуçна çийӗп тупӑнсан
Altında it babanın	Йытӑ ури айӗнче
Kara orman çatırdar	Шатӑртатать сӗм вӑрман
İşte  işte geliyor	Çывӑx çывӑх ак çитет
Narspi birden uyanır	Нарспи ялтах вӑранать
Bakar Onlara doğru	Пӑхать хӑйӗн патнелле
Üç tane at yaklaşır	Виç юланут кустарать
Setner  Setner  Kalk artık	Сетнер Сетнер  тытрӗç  çке
Kalk  kalk  Kaçıp gidelim	Тӑр тӑр тарса хӑтӑлар
Ah  bittik  işte bittik	Ай пӗтрӗмӗр пӗтрӗмӗр
Nereye gizlenelim	Ӑçтa тарса пытанар
Bugün yiğit çalgıcı	Маттур шӑnӑpçӑ паян
Ve iki delikanlı	Икӗ пуса каччипе
Ormanda yakaladı	Тытса килчӗç вӑрмантал
Setner ile Narspi’yi	Сетнерпеле Нарспие
Anne dışarı koştu	Карчӑк вӗçсе тухрӗ те
Saçından yakaladı	ÇўçpeН яврӗ Нарспине
Babası koşup çıktı	Старик чупса тухрӗ те
Setner’i yumrukladı	Чышкӑ пачӗ Сетнерне
Ey annem  anneciğim	Эй аннеçӗм аннеçӗм
Saçımdan sürükleme	Мана çўçрен ан сӗтӗр
Bana bunları yapıp	Мана апла вӗрентсе
Benden sevgi bekleme	Манран ырӑ ан кӗтӗр
Ey Miheter babacık	Эй Михетер асатте
Yararı yok cezanın	Хӗненипе усси çук
Cezalandırıp beni	Эсӗ мана хӗнесе
Külü kor yapamazsın	Кӗлрен вутӑ тӑвас çук
Azgın köpek Miheter	Урнӗ йытӗ Михетер
Çekti de kırbacını	Хӑй саламат йӑтрӗ те
Isırmaya çalışıp	Тытӑнчӗ çке тулама
Setner’ini bağladı	Çыxca хунӑ Сетнере
Avlu insanla dolu	Карташӗнче çын нумай
Sanki düğün var gibi	Туйне курма килнӗ пек
Setner kara toprakta	Хура тӑпра çийӗнче
Yatıyor ölmüş gibi	Выртать Сетнер вилнӗ пек
Annesi de orada	Амӑшӗ те çавӑнтах
Ağlayıp haykırıyor	Тӑрать йӗрсе ылханса
İki kişi alıp da	Ярать ӑнсӑр ывӑлне
Oğlunu götürüyor	Икӗ çынна йӑттарса
Narspi’nin kara evde	Хура пўртре Нарспине
Yüzü gözü yunuldu	Питне куçне çӑваççӗ
Duvağı da takılıp	Татах пӗркенчӗк айне
Kondu perde ardına	Чаршав хыçне лартаççӗ
Dans edip oynayarak	Тӑпӑр тӑпӑр тӑпӑртӑк
Haydi düğün yapılsın	Атьӑр шепрех туй тӑвар
Dün gece olanları	Анчах хальхи ӗq çинчен
Yeni güvey duymasın	Çeн кӗрӗве калас мар
Bak düğün  işte düğün	Акӑ туй та çакӑ туй
Büyük de bozuk düğün	Пысӑк туй та пасӑк туй
İki Düğün	Икӗ Туй
Kızgın güneşi yazın	Çypкyннexи вут хӗвел
Sönmeye yüz tutunca	Каç еннелле сулӑнать
Köy ucundaki orman	Ял вӗçӗнчи сӗм вӑрман
Yankılandı usulca	Темӗншӗн пит янӑрать
Köylüler bekler çoktan	Халӑх кӗтет тахçанах
Önünde kapıların	Анат хапха патӗнче
Hissedildi oradan	Туй килнине çавӑнтах
Gelen düğün alayı	Систерчӗçӗ евӗче
Mağrur yürüyüşüyle	Кӗпӗр кӗпӗр сиктерсе
Gelip çıktı ormandan	Килсе тухрӗ вӑрмантан
Herkesten daha önde	Ыттисенчен маларах
Yeni güvey Tĭhtaman	Çӗнӗ кӗрў Тӑхтаман
Göz kısık burnu yassı	Лаптак сӑмса хӗсӗк куç
Boz saç  sarı sakallı	Сӑрӑ çўçпе cap сухал
Uçuyor sanki atı	Лаши вӗçсе пырупа
Yüzü gözü çok kötü	Пичӗ куçӗ пит усал
Şapka boz  giysi kara	Хура сӑхман сарӑ çӗлӗк
Alnı üstünde para	Çaмкн çинче тенкӗпе
Beyaz çorap ve çizme	Шурӑ чӑлха  çӑпата
Pek yakışmış güveye	Пит килӗшет кӗрӗве
Alay türkü söyleyip	Арçын туйӗ юрласа
Sokak boyunca varır	Урам тӑрӑх уттарать
Kapıları dünürün	Ырӑ евчӗн хапхисем
Açılır da kapanır	Уçӑлать те хупӑнать
Kız tarafı yukardan	Хӗр туйӗ те тукасран
Karşılamaya iner	Хирӗç анать çӗмӗрсе
Narspi duvak altından	Нарспи тутӑр айӗнче
Gözyaşlarını döker	Тӑрса пырать хӗр йӗрсе
Sarı kızın yüreği	Capӑ хӗрӗн чӗрнинче
Ateşlerde yanıyor	Вутра çyннӑ пек çунать
Yaşlı güveyi görüp	Ватӑ каччине курса
Kederinden eriyor	Нарспи хытӑ хурланать
Ey annecik ey baba	Аттеçӗм аннеçӗм
Niçin kıydınız bana	Мӗншӗн çирӗр хӗр пуçне
Niçin verdiniz beni	Мӗншӗн патӑр хӗрӗре
Yedi kat yabancıya	Çиyӗ ютӑн аллине
Ey nişanlım Tĭhtaman	Эй каччӑмçӑм Тӑхтаман
İyi günler bekleme	Манпа ырӑ курас çук
Ölecek bile olsam	Эпӗ чунӑм пӗтсен те
Olmayacağım senle	Санпа пӗрле пулас çук
İyi dünür şarapla	Ырӑ евчӗ сӑрапа
Karşılamaya gider	Туя хирӗç вӑл тухать
